time_range_id,stat_date,biz_hour,time_period_type,trip_cnt,matched_trip_cnt,vehicle_cnt,total_distance_km,total_duration_min,avg_trip_distance_km,avg_trip_duration_min,avg_speed_kmh,road_coverage_cnt,slot_activity_level,trip_share_in_day
2015-01-03_00,2015-01-03,0,night,4268,4233.0,2437,40840.21858386209,95860.46666666654,9.568935938112018,22.46027803811306,25.562290694374486,9633,low,0.027977162035489306
2015-01-03_01,2015-01-03,1,night,2136,2103.0,1387,17297.085354642342,40498.05000000014,8.097886401986115,18.95976123595512,25.62654550721669,7569,low,0.014001691215511987
2015-01-03_02,2015-01-03,2,night,1597,1567.0,1022,12194.211231281008,28901.58333333328,7.635698955091426,18.097422250052148,25.31531457769713,6765,low,0.010468492917215657
2015-01-03_03,2015-01-03,3,night,1351,1328.0,870,9965.818754725226,24806.81666666663,7.376623800684845,18.361818406118896,24.104226403502576,6244,low,0.008855938591833657
2015-01-03_04,2015-01-03,4,night,1603,1583.0,1048,13444.89306574076,33549.31666666669,8.387331918740337,20.929080889997934,24.045007889711965,7035,low,0.010507823510517655
2015-01-03_05,2015-01-03,5,night,2969,2925.0,1845,28116.783126567312,72969.4000000002,9.470118937880537,24.577096665544023,23.119375897212176,8457,low,0.019462088585606312
2015-01-03_06,2015-01-03,6,shoulder,4880,4863.0,2993,54877.19965117191,143828.53333333382,11.245327797371294,29.47306010928972,22.89275919569717,10044,low,0.031988882552293305
2015-01-03_07,2015-01-03,7,morning_peak,7039,7028.0,3968,75627.7790289632,206837.6666666665,10.744108400193664,29.384524316901054,21.938299802281957,10878,medium,0.04614134104212962
2015-01-03_08,2015-01-03,8,morning_peak,8214,8209.0,4447,78836.38330790472,229811.68333333416,9.597806587278393,27.978047642236934,20.582865630957983,11076,medium,0.05384358223043795
2015-01-03_09,2015-01-03,9,morning_peak,8672,8659.0,4653,73147.23950743287,226072.20000000068,8.434875404454896,26.069211254612625,19.413419122059054,11001,medium,0.05684581751915728
2015-01-03_10,2015-01-03,10,daytime,9470,9466.0,4769,70661.91144228837,219994.1166666665,7.461659075215246,23.230635339669114,19.271945771901198,10981,medium,0.062076786428323275
2015-01-03_11,2015-01-03,11,daytime,9296,9291.0,4757,72579.22442908771,222954.68333333364,7.807575777655735,23.98393753585775,19.53201162065112,10947,medium,0.060936199222565275
2015-01-03_12,2015-01-03,12,daytime,9108,9104.0,4652,70513.28888036511,211415.26666666736,7.741906991695775,23.212040696823383,20.011787225813208,10998,medium,0.05970384063243594
2015-01-03_13,2015-01-03,13,daytime,9524,9518.0,4745,75813.86280621638,225163.85000000155,7.960296388724945,23.641731415371854,20.202318304527797,11097,medium,0.06243076176804127
2015-01-03_14,2015-01-03,14,daytime,9274,9268.0,4774,72616.41761319031,212444.28333333373,7.830107570971567,22.907513837969994,20.508836427267525,11158,medium,0.06079198704712461
2015-01-03_15,2015-01-03,15,daytime,9658,9650.0,4994,83589.42443628698,247243.91666666648,8.654941440907743,25.599908538689842,20.285091474824515,11510,high,0.0633091450184526
2015-01-03_16,2015-01-03,16,daytime,9040,9031.0,4658,80149.26275866774,241199.63333333348,8.866068889233157,26.68137536873158,19.93765786067417,11170,medium,0.059258093908346604
2015-01-03_17,2015-01-03,17,evening_peak,8777,8771.0,4468,78785.80788657336,227218.0666666663,8.976393743485628,25.88789639588314,20.80445689263446,11019,medium,0.057534102901942274
2015-01-03_18,2015-01-03,18,evening_peak,7674,7665.0,4154,74685.2171052747,199884.5666666674,9.73224095716376,26.046985492138052,22.418504345006788,10824,medium,0.05030382883325795
2015-01-03_19,2015-01-03,19,evening_peak,7025,7008.0,3920,75872.06629459656,196306.2166666663,10.800294134462144,27.943945432977408,23.189912448905133,10778,medium,0.046049569657758284
