stat_date,grid_id,rank_by_total_od,rank_by_pickup,rank_by_dropoff,grid_center_lon,grid_center_lat,pickup_trip_cnt,dropoff_trip_cnt,total_od_trip_cnt,active_vehicle_cnt,night_od_trip_cnt,peak_od_trip_cnt,pickup_ratio,grid_role_bias,grid_activity_level
2015-01-03,12662_4575,1,1,1,126.625,45.755,3231.0,3266.0,6497,2534,993.0,2415.0,0.49730644913036787,balanced,hotspot
2015-01-03,12660_4570,2,2,5,126.605,45.705,3185.0,2649.0,5834,2586,385.0,1658.0,0.5459376071306137,balanced,hotspot
2015-01-03,12661_4576,3,3,2,126.615,45.765,2923.0,2882.0,5805,2665,604.0,1544.0,0.5035314384151593,balanced,hotspot
2015-01-03,12660_4575,4,4,3,126.605,45.755,2705.0,2808.0,5513,2408,1284.0,1637.0,0.4906584436785779,balanced,hotspot
2015-01-03,12660_4572,5,5,4,126.605,45.725,2695.0,2774.0,5469,2566,450.0,1693.0,0.49277747302980435,balanced,hotspot
2015-01-03,12667_4578,6,6,9,126.675,45.785,2494.0,2387.0,4881,2148,613.0,1530.0,0.510960868674452,balanced,hotspot
2015-01-03,12660_4574,7,8,7,126.605,45.745,2426.0,2437.0,4863,2342,866.0,1483.0,0.49886901089862223,balanced,hotspot
2015-01-03,12663_4575,8,12,8,126.635,45.755,2363.0,2409.0,4772,2457,434.0,1804.0,0.4951802179379715,balanced,hotspot
2015-01-03,12661_4573,9,11,10,126.615,45.735,2387.0,2354.0,4741,2285,941.0,1477.0,0.5034802784222738,balanced,hotspot
2015-01-03,12666_4575,10,9,11,126.665,45.755,2420.0,2292.0,4712,2272,768.0,1594.0,0.5135823429541596,balanced,hotspot
2015-01-03,12662_4576,11,7,13,126.625,45.765,2433.0,2223.0,4656,2303,479.0,1263.0,0.5225515463917526,balanced,hotspot
2015-01-03,12665_4574,12,10,16,126.655,45.745,2412.0,2077.0,4489,2470,343.0,1673.0,0.5373134328358209,balanced,hotspot
2015-01-03,12659_4575,13,15,12,126.595,45.755,2016.0,2281.0,4297,2105,499.0,1352.0,0.46916453339539216,balanced,hotspot
2015-01-03,12667_4573,14,14,14,126.675,45.735,2060.0,2161.0,4221,2016,879.0,1319.0,0.48803601042407013,balanced,hotspot
2015-01-03,12657_4570,15,27,6,126.575,45.705,1551.0,2538.0,4089,2215,366.0,1360.0,0.3793103448275862,dropoff_dominant,hotspot
2015-01-03,12657_4572,16,16,17,126.575,45.725,1936.0,1976.0,3912,1854,344.0,1230.0,0.4948875255623722,balanced,hotspot
2015-01-03,12663_4577,17,13,21,126.635,45.775,2114.0,1735.0,3849,1997,469.0,1328.0,0.5492335671603014,balanced,hotspot
2015-01-03,12664_4578,18,17,18,126.645,45.785,1926.0,1908.0,3834,1809,696.0,1088.0,0.5023474178403756,balanced,hotspot
2015-01-03,12663_4576,19,21,15,126.635,45.765,1667.0,2141.0,3808,2104,242.0,1239.0,0.4377626050420168,balanced,hotspot
2015-01-03,12659_4574,20,18,19,126.595,45.745,1925.0,1853.0,3778,2005,634.0,1206.0,0.5095288512440445,balanced,hotspot
