stat_date,road_id,rank_by_pass_cnt,rank_by_vehicle_cnt,rank_by_trip_cnt,pass_cnt,vehicle_cnt,trip_cnt,peak_pass_cnt,night_pass_cnt,peak_pass_ratio,direction_bias,road_activity_level,peak_bias_type
2015-01-03,1925,1,3,3,10544,2821,4036,3493.0,945.0,0.3312784522003035,mainly_forward,hot,offpeak
2015-01-03,10740,2,21,6,10396,2152,3193,3232.0,683.0,0.3108888033859177,mainly_forward,hot,offpeak
2015-01-03,5482,3,2,2,7473,3166,4570,2403.0,967.0,0.3215576073865917,mainly_forward,hot,offpeak
2015-01-03,16748,4,13,14,7379,2287,2995,3198.0,537.0,0.43339205854451823,mainly_forward,hot,offpeak
2015-01-03,185,5,11,8,7124,2302,3135,2320.0,541.0,0.3256597417181359,mainly_forward,hot,offpeak
2015-01-03,524,6,94,75,7087,1775,2329,2371.0,814.0,0.3345562297163821,mainly_forward,hot,offpeak
2015-01-03,3277,7,4,4,6366,2607,3551,1980.0,585.0,0.3110273327049953,mainly_forward,hot,offpeak
2015-01-03,19171,8,52,23,6083,1944,2725,2321.0,460.0,0.38155515370705245,mainly_forward,hot,offpeak
2015-01-03,1045,9,137,103,6054,1631,2158,1971.0,562.0,0.32556987115956393,mainly_forward,hot,offpeak
2015-01-03,17149,10,31,31,5868,2078,2620,1676.0,602.0,0.28561690524880706,mainly_forward,hot,offpeak
2015-01-03,1771,11,9,5,5819,2318,3317,1888.0,689.0,0.324454373603712,mainly_forward,hot,offpeak
2015-01-03,4504,12,215,207,5804,1489,1796,2044.0,274.0,0.352170916609235,mainly_forward,hot,offpeak
2015-01-03,4486,13,246,245,5753,1436,1727,1717.0,278.0,0.2984529810533635,mainly_forward,hot,offpeak
2015-01-03,5226,14,33,35,5613,2062,2612,1920.0,540.0,0.34206306787814006,mainly_forward,hot,offpeak
2015-01-03,435,15,1,1,5564,3291,4699,1834.0,411.0,0.3296189791516894,mainly_forward,hot,offpeak
2015-01-03,2653,16,46,43,5554,1982,2573,1832.0,583.0,0.3298523586604249,mainly_forward,hot,offpeak
2015-01-03,6472,17,10,12,5211,2312,3063,1593.0,464.0,0.30569948186528495,mainly_forward,hot,offpeak
2015-01-03,525,18,226,204,5083,1471,1802,1703.0,459.0,0.3350383631713555,mainly_forward,hot,offpeak
2015-01-03,321,19,45,41,5050,1990,2583,1401.0,416.0,0.27742574257425745,mainly_forward,hot,offpeak
2015-01-03,14013,20,98,86,4987,1769,2261,1664.0,459.0,0.3336675355925406,mainly_forward,hot,offpeak
