stat_date,road_id,pass_cnt,vehicle_cnt,trip_cnt,peak_pass_ratio,direction_bias,road_activity_level,peak_bias_type,flow_score,peak_sensitivity_score,direction_imbalance_score,watch_score,watch_level,watch_reason
2015-01-03,5548,3517,1601,2018,0.4717088427637191,mainly_forward,hot,offpeak,0.9948756405449319,0.4717088427637191,1.0,0.8389504731015818,critical,directional_bias
2015-01-03,1593,3403,1851,2243,0.4507787246547164,mainly_forward,hot,offpeak,0.9940632420947382,0.4507787246547164,1.0,0.8322652384437841,critical,directional_bias
2015-01-03,16748,7379,2287,2995,0.43339205854451823,mainly_forward,hot,offpeak,0.9998125234345707,0.43339205854451823,1.0,0.8299238792806409,critical,directional_bias
2015-01-03,13683,2024,1511,1799,0.45849802371541504,mainly_forward,hot,offpeak,0.9740032495938008,0.45849802371541504,1.0,0.824551031911525,critical,directional_bias
2015-01-03,15708,2635,1280,1559,0.4330170777988615,mainly_forward,hot,offpeak,0.9868141482314711,0.4330170777988615,1.0,0.8233121974553941,critical,directional_bias
2015-01-03,18446,3521,2021,2598,0.4095427435387674,mainly_forward,hot,offpeak,0.9949381327334084,0.4095427435387674,1.0,0.8203318894283345,critical,directional_bias
2015-01-03,18614,2275,1481,1733,0.432967032967033,mainly_forward,hot,offpeak,0.9798150231221098,0.432967032967033,1.0,0.8197976214511649,critical,directional_bias
2015-01-03,18449,4540,2302,3060,0.3905286343612335,mainly_forward,hot,offpeak,0.9978752655918011,0.3905286343612335,1.0,0.8160962231042705,critical,directional_bias
2015-01-03,18447,3088,1906,2404,0.3960492227979275,mainly_forward,hot,offpeak,0.991626046744157,0.3960492227979275,1.0,0.8146277902114567,critical,directional_bias
2015-01-03,19171,6083,1944,2725,0.38155515370705245,mainly_forward,hot,offpeak,0.9995625546806649,0.38155515370705245,1.0,0.8142478234524482,critical,directional_bias
2015-01-03,18452,3579,1960,2504,0.38809723386420786,mainly_forward,hot,offpeak,0.9953130858642669,0.38809723386420786,1.0,0.8140857130913959,critical,directional_bias
2015-01-03,9909,2646,1689,2009,0.4017384731670446,mainly_forward,hot,offpeak,0.9870641169853769,0.4017384731670446,1.0,0.8140536004428018,critical,directional_bias
2015-01-03,17901,3145,1885,2295,0.39268680445151033,mainly_forward,hot,offpeak,0.9921884764404449,0.39268680445151033,1.0,0.8139002795556756,critical,directional_bias
2015-01-03,17948,3772,2077,2583,0.38335100742311773,mainly_forward,hot,offpeak,0.9961879765029371,0.38335100742311773,1.0,0.8130992904784038,critical,directional_bias
2015-01-03,187,3391,1837,2303,0.38690651725154823,mainly_forward,hot,offpeak,0.9940007499062617,0.38690651725154823,1.0,0.8130723301285954,critical,directional_bias
2015-01-03,13,2867,1350,1658,0.3923962329961632,mainly_forward,hot,offpeak,0.9897512810898638,0.3923962329961632,1.0,0.8125945104437808,critical,directional_bias
2015-01-03,427,2275,1552,1845,0.40615384615384614,mainly_forward,hot,offpeak,0.9798775153105862,0.40615384615384614,1.0,0.811784911501447,critical,directional_bias
2015-01-03,156,3739,1437,1843,0.3784434340732816,mainly_forward,hot,offpeak,0.9961254843144607,0.3784434340732816,1.0,0.8115957723792149,critical,directional_bias
2015-01-03,13682,1131,979,1082,0.493368700265252,mainly_forward,hot,offpeak,0.9260092488438945,0.493368700265252,1.0,0.8110152345015229,critical,directional_bias
2015-01-03,1441,2667,1620,1925,0.3910761154855643,mainly_forward,hot,offpeak,0.9871266091738533,0.3910761154855643,1.0,0.8108861392325959,critical,directional_bias
