stat_date,devid,trip_cnt,matched_trip_cnt,matched_trip_ratio,total_distance_km,total_duration_min,avg_trip_distance_km,avg_trip_duration_min,avg_speed_kmh,active_hour_cnt,road_coverage_cnt,night_trip_cnt,night_trip_ratio,morning_peak_trip_cnt,evening_peak_trip_cnt,peak_trip_cnt,peak_trip_ratio,dominant_time_period,trip_frequency_level,night_activity_flag,peak_activity_flag,operation_style_type,rank_by_trip_cnt_in_day
2015-01-03,300061672,63,63.0,1.0,367.13898799736586,936.6333333333331,5.827602984085172,14.867195767195764,23.51863690505921,23,661,14.0,0.2222222222222222,10.0,7.0,17.0,0.2698412698412698,daytime,very_high,True,False,night_shift,1
2015-01-03,300061583,62,62.0,1.0,367.7441327190202,1037.6333333333332,5.931356979339035,16.736021505376343,21.264397792869556,23,780,18.0,0.2903225806451613,10.0,7.0,17.0,0.27419354838709675,daytime,very_high,True,False,night_shift,2
2015-01-03,300061708,61,61.0,1.0,369.66059132204884,949.8833333333332,6.060009693804079,15.571857923497266,23.349852240790554,21,695,19.0,0.3114754098360656,7.0,5.0,12.0,0.19672131147540983,daytime,very_high,True,False,night_shift,3
2015-01-03,300025513,60,60.0,1.0,400.2837220154487,1094.6833333333334,6.671395366924145,18.244722222222222,21.939699445130483,24,785,19.0,0.31666666666666665,6.0,9.0,15.0,0.25,night,very_high,True,False,night_shift,4
2015-01-03,300016945,59,59.0,1.0,309.9800544425655,972.4333333333334,5.253899227840093,16.481920903954805,19.12604456163637,24,707,17.0,0.288135593220339,8.0,7.0,15.0,0.2542372881355932,daytime,very_high,True,False,night_shift,5
2015-01-03,300061562,59,59.0,1.0,384.54002636323617,1049.8833333333332,6.517627565478579,17.79463276836158,21.976157587472425,23,699,14.0,0.23728813559322035,9.0,10.0,19.0,0.3220338983050847,daytime,very_high,True,False,night_shift,6
2015-01-03,300019211,58,58.0,1.0,376.74113788497647,952.9,6.495536860085801,16.429310344827584,23.72176332574099,22,713,16.0,0.27586206896551724,8.0,6.0,14.0,0.2413793103448276,daytime,very_high,True,False,night_shift,7
2015-01-03,300020729,57,57.0,1.0,407.6024547683704,1100.3000000000002,7.150920259094218,19.303508771929828,22.22679931482525,24,760,15.0,0.2631578947368421,7.0,5.0,12.0,0.21052631578947367,daytime,very_high,True,False,night_shift,8
2015-01-03,300023049,57,57.0,1.0,372.4807577808933,938.9666666666667,6.534750136506901,16.47309941520468,23.801532322965244,24,725,19.0,0.3333333333333333,7.0,10.0,17.0,0.2982456140350877,night,very_high,True,False,night_shift,9
2015-01-03,300018886,56,56.0,1.0,340.02307196271806,990.7166666666666,6.071840570762823,17.691369047619045,20.592551840684106,23,733,20.0,0.35714285714285715,4.0,7.0,11.0,0.19642857142857142,daytime,very_high,True,False,night_shift,10
2015-01-03,300024359,56,56.0,1.0,305.91955040201833,965.0000000000001,5.462849114321756,17.232142857142858,19.02090468820839,24,738,14.0,0.25,8.0,8.0,16.0,0.2857142857142857,daytime,very_high,True,False,night_shift,11
2015-01-03,300061075,56,56.0,1.0,327.1959311324887,834.0333333333333,5.8427844845087265,14.89345238095238,23.538334840273357,21,620,9.0,0.16071428571428573,7.0,8.0,15.0,0.26785714285714285,daytime,very_high,False,False,intensive_operation,12
2015-01-03,300061720,56,56.0,1.0,330.02969124010696,808.8833333333333,5.893387343573338,14.444345238095238,24.480392484791484,22,659,12.0,0.21428571428571427,9.0,10.0,19.0,0.3392857142857143,daytime,very_high,False,False,intensive_operation,13
2015-01-03,300019549,55,55.0,1.0,434.51778486522437,1093.9166666666667,7.900323361185897,19.88939393939394,23.8327725377437,24,819,15.0,0.2727272727272727,8.0,6.0,14.0,0.2545454545454545,daytime,very_high,True,False,night_shift,14
2015-01-03,300019832,55,55.0,1.0,240.8341287980588,603.9833333333333,4.378802341782888,10.981515151515152,23.924580249814056,22,524,12.0,0.21818181818181817,9.0,5.0,14.0,0.2545454545454545,daytime,very_high,False,False,intensive_operation,15
2015-01-03,300042163,55,55.0,1.0,366.83569850840144,958.4500000000002,6.669739972880026,17.42636363636364,22.964308947262854,21,726,12.0,0.21818181818181817,4.0,10.0,14.0,0.2545454545454545,daytime,very_high,False,False,intensive_operation,16
2015-01-03,300061103,55,55.0,1.0,317.07321765176636,820.2166666666668,5.764967593668479,14.913030303030306,23.194350751759874,22,609,14.0,0.2545454545454545,9.0,8.0,17.0,0.3090909090909091,daytime,very_high,True,False,night_shift,17
2015-01-03,300012047,54,54.0,1.0,344.2818211284524,877.3166666666666,6.375589280156526,16.246604938271602,23.54555664169967,22,638,12.0,0.2222222222222222,10.0,10.0,20.0,0.37037037037037035,daytime,very_high,True,False,night_shift,18
2015-01-03,300017208,54,54.0,1.0,247.49023537341589,793.2833333333334,4.583152506915109,14.690432098765434,18.718928658198983,21,582,13.0,0.24074074074074073,9.0,7.0,16.0,0.2962962962962963,daytime,very_high,True,False,night_shift,19
2015-01-03,300020549,54,54.0,1.0,372.52861792978024,880.1833333333334,6.898678109810745,16.299691358024692,25.394387997712766,22,687,12.0,0.2222222222222222,4.0,11.0,15.0,0.2777777777777778,daytime,very_high,True,False,night_shift,20
