devid,road_id,rank_in_device,pass_cnt,pass_ratio,active_day_cnt_on_road,preference_level,preference_score
3012099,15650,1,15,0.0035910940866650705,5,core_route,0.017955470433325352
3012099,3523,2,13,0.0031122815417763947,2,core_route,0.0062245630835527895
3012099,7446,3,13,0.0031122815417763947,5,core_route,0.015561407708881973
3012099,14858,4,13,0.0031122815417763947,5,frequent_route,0.015561407708881973
3012099,15670,5,13,0.0031122815417763947,5,frequent_route,0.015561407708881973
3012099,10740,6,12,0.0028728752693320567,4,frequent_route,0.011491501077328227
3012099,14809,7,12,0.0028728752693320567,5,frequent_route,0.014364376346660284
3012099,19397,8,12,0.0028728752693320567,3,frequent_route,0.00861862580799617
3012099,1771,9,11,0.0026334689968877186,4,frequent_route,0.010533875987550874
3012099,6451,10,11,0.0026334689968877186,4,frequent_route,0.010533875987550874
3021173,1800,1,19,0.0071996968548692685,5,core_route,0.03599848427434634
3021173,1045,2,16,0.0060629026146267525,4,core_route,0.02425161045850701
3021173,10740,3,11,0.004168245547555892,4,core_route,0.01667298219022357
3021173,16748,4,11,0.004168245547555892,3,frequent_route,0.012504736642667677
3021173,19134,5,11,0.004168245547555892,4,frequent_route,0.01667298219022357
3021173,15787,6,10,0.0037893141341417205,3,frequent_route,0.011367942402425162
3021173,3548,7,9,0.0034103827207275484,3,frequent_route,0.010231148162182645
3021173,4486,8,9,0.0034103827207275484,1,frequent_route,0.0034103827207275484
3021173,14013,9,9,0.0034103827207275484,3,frequent_route,0.010231148162182645
3021173,83,10,8,0.0030314513073133762,2,frequent_route,0.0060629026146267525
