driver_activity_level,dominant_time_period_5d,vehicle_cnt,avg_total_trip_cnt,avg_total_distance_km,avg_speed_kmh,avg_night_trip_ratio_5d,avg_peak_trip_ratio_5d,core_driver_cnt,full_attendance_cnt,core_driver_ratio,full_attendance_ratio
medium,daytime,2971,74.3089868731067,867.9065924550144,21.360695895864346,0.12817385804056133,0.31299887596884735,0,1073,0.0,0.36115785930663075
high,daytime,2904,95.81577134986226,1028.881670653889,21.47324151825518,0.17062434707585591,0.29892084711756284,0,1372,0.0,0.4724517906336088
core,daytime,2866,169.54082344731333,1106.2745909814628,21.29738438889621,0.11887391433242984,0.3405316335890501,2866,2714,1.0,0.9469644103279833
low,daytime,2581,47.03060829135994,514.3029889495309,21.088405049663745,0.08481467162795092,0.316947400705145,0,699,0.0,0.2708252615265401
high,night,322,99.76708074534162,1096.2780552815875,21.051052829009333,0.3645194145247855,0.2456566708598316,0,186,0.0,0.577639751552795
core,night,243,143.81069958847738,1181.4004712732162,19.478312888939257,0.3716097046073231,0.24276971719107754,243,194,1.0,0.7983539094650206
low,night,184,33.59782608695652,290.7533135892458,20.246875720061134,0.5101594491835619,0.18849422233237995,0,51,0.0,0.27717391304347827
medium,night,118,73.97457627118644,802.5752310816918,21.089393836665746,0.36303651847321333,0.25846684021003286,0,62,0.0,0.5254237288135594
low,evening_peak,112,25.321428571428573,223.06647737013554,21.613867148288165,0.11072779862122946,0.5508722212310195,0,13,0.0,0.11607142857142858
low,morning_peak,86,24.267441860465116,191.53956205568468,20.87992594829466,0.08231157121796455,0.5817078774692938,0,25,0.0,0.29069767441860467
low,shoulder,21,16.904761904761905,112.73043189305517,20.06554060748183,0.14904132204552373,0.21232289341533037,0,5,0.0,0.23809523809523808
medium,morning_peak,14,69.57142857142857,488.06157030937493,21.193961636696624,0.11696930501661396,0.5081278320937666,0,12,0.0,0.8571428571428571
high,evening_peak,12,98.75,697.6304508873797,22.305712932000166,0.16915030567343806,0.4010893401213649,0,8,0.0,0.6666666666666666
medium,evening_peak,12,70.33333333333333,535.462346196998,21.037943098007855,0.1510853106957475,0.46296740080837434,0,6,0.0,0.5
core,evening_peak,11,133.54545454545453,876.8765889469261,22.23733074161636,0.1704387943556308,0.4300561183100129,11,11,1.0,1.0
high,morning_peak,7,103.85714285714286,604.91707436296,21.042474377771466,0.06761357396135233,0.5196803320088141,0,5,0.0,0.7142857142857143
core,morning_peak,3,128.0,791.4479564648123,20.927172760329814,0.1362613726026176,0.45775925075074203,3,3,1.0,1.0
medium,shoulder,3,67.66666666666667,639.0959565404319,21.597767799826983,0.22200591246665224,0.32035474799913477,0,1,0.0,0.3333333333333333
high,shoulder,2,87.0,649.1682335044898,22.406291329337996,0.24738929279577,0.2939193654990086,0,2,0.0,1.0
